targetAlias,targetType,sourceRefId
BusinessPartner,company,5C51DEF8-D2FB-42D5-98F3-E8A119A6EF3D
BusinessPartner,person,5C51DEF8-D2FB-42D5-98F3-E8A119A6EF3D
BusinessPartner,person,B654A771-AD64-45C8-88E8-66DFE096E6AE
BusinessPartner,company,B654A771-AD64-45C8-88E8-66DFE096E6AE
